username;lotacao;tipoconta;valormi;dc;contacontabil
user0777;UNID-113;Receita;36334.65;d;74330152
user0066;UNID-091;Receita;36334.65;c;78585979
user0658;UNID-030;Receita;20719.81;d;75264789
user1917;UNID-066;Receita;20719.81;c;79756223
user2472;UNID-055;Passivo;48946.80;d;25132265
user0700;UNID-073;Resultado;48946.80;c;31281136
user0214;UNID-064;Ativo;19614.54;d;11825496
user0457;UNID-075;Passivo;19614.54;c;29267649
user0962;UNID-034;Outras;42588.72;d;95454291
user2133;UNID-077;Receita;42588.72;c;74434141
user1673;UNID-084;Despesa;11990.27;d;88878898
user2489;UNID-029;Despesa;11990.27;c;80638172
user0958;UNID-050;Ativo;46831.98;d;11652290
user1928;UNID-049;Resultado;46831.98;c;37580877
user2895;UNID-073;Receita;26079.52;d;74456874
user2570;UNID-059;Receita;26079.52;c;78931211
user0994;UNID-097;Receita;27036.30;d;73639060
user0318;UNID-073;Outras;27036.30;c;94667210
user0007;UNID-048;Passivo;1439.27;d;27433759
user2641;UNID-016;Resultado;1439.27;c;36830489
user1731;UNID-091;Receita;54651.03;d;74108503
user1060;UNID-078;Resultado;54651.03;c;33258253
user2391;UNID-098;Outras;17965.17;d;97956799
user1439;UNID-063;Despesa;17965.17;c;81894713
user0519;UNID-028;Passivo;6346.75;d;23301963
user2218;UNID-091;Despesa;6346.75;c;82269093
user2307;UNID-090;Receita;31388.97;d;71606881
user0493;UNID-011;Resultado;31388.97;c;38326781
user0955;UNID-023;Outras;28446.03;d;97678439
user2482;UNID-035;Despesa;28446.03;c;88322598
user0224;UNID-030;Outras;35712.28;d;98980876
user1910;UNID-096;Outras;35712.28;c;92883281
user2523;UNID-077;Ativo;21833.44;d;18327367
user2325;UNID-017;Outras;21833.44;c;91999082
user0680;UNID-078;Receita;486.51;d;77803643
user1305;UNID-096;Passivo;486.51;c;26648508
user0782;UNID-100;Despesa;45160.07;d;85556469
user0381;UNID-024;Outras;45160.07;c;94589157
user0372;UNID-050;Outras;18196.70;d;92454811
user2171;UNID-066;Despesa;18196.70;c;81145300
user2580;UNID-037;Receita;32457.40;d;78550800
